Exp, Rnd, InitialSteps, FinalSteps, nbrV, nbrAg, dependanceDistance, T (ms), Total ag Utility Time, Util consumed T (ms), Time exhaustif search, difference in time 
  1,   1,    5760000.0,      195.0,   14,     4,              318.0,   88.0,  0.054950000000000006,   10.660300000000035,   316512.00000000006,   316413.33970000007
  1,   2,    5760000.0,      195.0,   14,     4,              318.0,   48.0,               0.06485,   12.580900000000018,             373536.0,          373475.4191
  1,   3,    5760000.0,      195.0,   14,     4,              318.0,   29.0,                0.0385,    7.468999999999996,             221760.0,           221723.531
  1,   4,    5760000.0,      195.0,   14,     4,              318.0,   16.0,               0.04935,    9.573899999999995,             284256.0,          284230.4261
  1,   5,    5760000.0,      195.0,   14,     4,              318.0,   13.0,                0.0712,   13.812800000000147,             410112.0,          410085.1872
  1,   6,    5760000.0,      195.0,   14,     4,              318.0,   20.0,               0.07185,   13.938899999999968,             413856.0,          413822.0611
  1,   7,    5760000.0,      195.0,   14,     4,              318.0,   20.0,                0.0534,   10.359600000000047,             307584.0,          307553.6404
  1,   8,    5760000.0,      195.0,   14,     4,              318.0,   23.0,   0.04844999999999999,    9.399300000000009,   279071.99999999994,   279039.60069999995
  1,   9,    5760000.0,      195.0,   14,     4,              318.0,   27.0,               0.04235,     8.21590000000006,             243936.0,          243900.7841
  1,  10,    5760000.0,      195.0,   14,     4,              318.0,   23.0,                0.0305,    5.916999999999939,             175680.0,           175651.083
