Exp, InitialSteps, FinalSteps, nbrV, nbrAg, minVal, maxVal, utilityFactor, exhaustifMeanValue, utility TotalMeanValue, utility  Mean  Value, elapsedTimeMeanValue, All T(MeanV+elapsed), difference in time
  1,        625.0,       38.0,    4,     3,     50,    500,         20000, 28.027083333333334,   0.044843333333333325,   1.6592033333333331,    6.533333333333333,    8.192536666666665,   19.834546666666668
  2,        625.0,       38.0,    4,     3,     50,    500,         20000, 25.398819444444445,    0.04063811111111111,   1.5036101111111113,    2.651111111111111,    4.154721222222222,   21.244098222222224
  3,        625.0,       38.0,    4,     3,     50,    500,         20000, 26.817460648148145,   0.042907937037037026,   1.5875936703703704,     2.58837037037037,    4.175964040740741,   22.641496607407404
  4,       5000.0,       86.0,    7,     3,     50,    500,         20000, 238.56891535493827,    0.04896526456790125,    4.093394789012347,    4.452945679012346,    8.546340468024692,    230.0225748869136
  5,        625.0,       38.0,    4,     3,     50,    500,         20000,  34.11375551183128,    0.04349050881893003,   1.6852048263004114,    2.448431522633745,    4.133636348934156,    29.98011916289712
  6,        625.0,       38.0,    4,     3,     50,    500,         20000, 28.623583517061043,   0.045428016960631014,   1.6833718275433474,    1.414947717421125,   3.0983195449644723,    25.52526397209657
  7,        625.0,       38.0,    4,     3,     50,    500,         20000, 26.328077783902035,   0.042112600565354354,   1.5582507275847788,   2.4471649239140376,    4.005415651498817,   22.322662132403217
  8,       5000.0,       86.0,    7,     3,     50,    500,         20000, 212.90260259279674,    0.04380875335217848,    3.656366690919494,    4.081572164130468,    7.737938855049961,   205.16466373774676
  9,        625.0,       38.0,    4,     3,     50,    500,         20000,  34.81133675309322,   0.045803625111739285,   1.7625822230306503,   1.9693857388043488,   3.7319679618349992,   31.079368791258222
 10,       5000.0,       81.0,    7,     3,     50,    500,         20000, 190.67704455843645,    0.03943012083705797,   3.0910194074343544,    4.198979524626812,    7.289998932061167,   183.38704562637528
 11,        625.0,       38.0,    4,     3,     50,    500,         20000,  34.34965148528122,   0.046104337361235266,   1.7602639802478117,    2.839965984154227,    4.600229964402039,    29.74942152087918
 12,       5000.0,       57.0,    7,     3,     50,    500,         20000,  210.5949883828427,    0.04342681124537453,    2.404515466008261,   3.1946655328051405,    5.599180998813401,    204.9958073840293
 13,      78125.0,      162.0,    7,     3,     50,    500,         20000,  2996.993791279428,     0.0397192270415125,    6.241888848866934,   7.9064888510935045,   14.148377699960438,   2982.8454135794677
 14,       5000.0,       57.0,    7,     3,     50,    500,         20000,  301.0747930426476,   0.041558974234717085,    2.461222961628897,    3.496882961703117,    5.958105923332014,    295.1166871193156
 15,        625.0,       38.0,    4,     3,     50,    500,         20000, 34.964993101421584,   0.041271965807823906,   1.5578474320542974,   2.3498960987234367,    3.907743530777734,    31.05724957064385
 16,       5000.0,       81.0,    7,     3,     50,    500,         20000, 191.57383310338074,    0.03945739886026079,   3.0984615810684755,    4.811663203290781,    7.910124784359256,   183.66370831902148
 17,       5000.0,       86.0,    7,     3,     50,    500,         20000, 223.76079443677935,   0.044790246628675354,   3.7986570527022834,    4.960388773443026,    8.759045826145309,   215.00174861063405
