Exp, Rnd, InitialSteps, FinalSteps, nbrV, nbrAg, T (ms), Total ag Utility Time, Util consumed T (ms), Time exhaustif search, difference in time 
Exp, Rnd, InitialSteps, FinalSteps, nbrV, nbrAg, T (ms), Total ag Utility Time, Util consumed T (ms), Time exhaustif search, difference in time 
  2,   1,         80.0,       19.0,    5,     3,    2.0,               0.03185,               0.5733,                2.548,  -0.0253000000000001
  2,   2,         80.0,       19.0,    5,     3,    1.0,   0.03824999999999999,   0.6884999999999996,   3.0599999999999996,   1.3715000000000002
  2,   3,         80.0,       19.0,    5,     3,    3.0,                0.0158,               0.2844,   1.2640000000000002,  -2.0203999999999995
  2,   4,         80.0,       19.0,    5,     3,    3.0,               0.06225,               1.1205,                 4.98,   0.8595000000000006
  2,   5,         80.0,       19.0,    5,     3,    2.0,                0.0223,  0.40139999999999987,                1.784,  -0.6173999999999997
  2,   6,         80.0,       19.0,    5,     3,    3.0,                0.0466,               0.8388,                3.728, -0.11079999999999979
  2,   7,         80.0,       19.0,    5,     3,    1.0,               0.03085,               0.5553,                2.468,   0.9127000000000001
  2,   8,         80.0,       19.0,    5,     3,    2.0,  0.025599999999999998,  0.46080000000000015,                2.048,  -0.4128000000000003
  2,   9,         80.0,       19.0,    5,     3,    1.0,               0.06045,   1.0881000000000007,    4.835999999999999,   2.7478999999999987
  2,  10,         80.0,       19.0,    5,     3,    4.0,               0.02645,   0.4760999999999998,                2.116,  -2.3600999999999996
  2,  11,         80.0,       19.0,    5,     3,    2.0,  0.028499999999999998,   0.5129999999999998,                 2.28,  -0.2330000000000001
  2,  12,         80.0,       19.0,    5,     3,    2.0,               0.02675,  0.48149999999999993,                 2.14,  -0.3414999999999999
  2,  13,         80.0,       19.0,    5,     3,    1.0,   0.04819999999999999,   0.8676000000000003,   3.8559999999999994,    1.988399999999999
  2,  14,         80.0,       19.0,    5,     3,    1.0,                0.0591,   1.0637999999999996,                4.728,               2.6642
  2,  15,         80.0,       19.0,    5,     3,    1.0,                0.0475,   0.8549999999999998,                  3.8,                1.945
  2,  16,         80.0,       19.0,    5,     3,    2.0,                0.0523,               0.9414,                4.184,   1.2426000000000004
  2,  17,         80.0,       19.0,    5,     3,    2.0,                0.0275,   0.4950000000000001,                  2.2, -0.29499999999999993
  2,  18,         80.0,       19.0,    5,     3,    2.0,                0.0624,   1.1232000000000004,                4.992,   1.8687999999999994
  2,  19,         80.0,       19.0,    5,     3,    3.0,               0.04625,   0.8325000000000001,                  3.7, -0.13249999999999984
  2,  20,         80.0,       19.0,    5,     3,    1.0,                0.0435,   0.7829999999999994,   3.4799999999999995,                1.697
  2,  21,         80.0,       19.0,    5,     3,    2.0,               0.04075,   0.7334999999999995,   3.2600000000000002,   0.5265000000000009
  2,  22,         80.0,       19.0,    5,     3,    2.0,  0.054400000000000004,   0.9791999999999991,                4.352,   1.3728000000000011
  2,  23,         80.0,       19.0,    5,     3,    0.0,   0.06699999999999999,   1.2060000000000008,    5.359999999999999,    4.153999999999998
  2,  24,         80.0,       19.0,    5,     3,    1.0,                0.0466,               0.8388,                3.728,   1.8892000000000002
  2,  25,         80.0,       19.0,    5,     3,    1.0,  0.045450000000000004,   0.8181000000000002,                3.636,   1.8178999999999998
  2,  26,         80.0,       19.0,    5,     3,    2.0,   0.05639999999999999,    1.015200000000001,                4.512,   1.4967999999999986
  2,  27,         80.0,       19.0,    5,     3,    1.0,               0.03345,   0.6020999999999999,                2.676,   1.0739000000000003
  2,  28,         80.0,       19.0,    5,     3,    1.0,               0.01765,   0.3177000000000002,                1.412,   0.0942999999999996
  2,  29,         80.0,       19.0,    5,     3,    0.0,  0.053750000000000006,   0.9674999999999998,    4.300000000000001,    3.332500000000001
  2,  30,         80.0,       19.0,    5,     3,    2.0,                0.0586,   1.0547999999999997,                4.688,               1.6332
